#p	 replica	 essentials	 correct	 fp	 fn
0.0	0	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	0	243	0.5651340996168582	0.04789272030651341	0.38697318007662834
0.04	0	265	0.5613026819923371	0.07088122605363985	0.367816091954023
0.06	0	296	0.5708812260536399	0.09578544061302682	0.3333333333333333
0.08	0	309	0.5842911877394636	0.10153256704980843	0.31417624521072796
0.1	0	326	0.6015325670498084	0.10919540229885058	0.289272030651341
0.12	0	339	0.603448275862069	0.1206896551724138	0.27586206896551724
0.14	0	344	0.5977011494252874	0.12835249042145594	0.2739463601532567
0.16	0	354	0.6130268199233716	0.13026819923371646	0.2567049808429119
0.18	0	362	0.6475095785440613	0.1206896551724138	0.23180076628352492
0.2	0	376	0.6704980842911877	0.12260536398467432	0.20689655172413793
0.22	0	378	0.6704980842911877	0.12452107279693486	0.2049808429118774
0.24	0	382	0.6513409961685823	0.13793103448275862	0.210727969348659
0.26	0	390	0.6628352490421456	0.13984674329501914	0.19731800766283525
0.28	0	388	0.6513409961685823	0.14367816091954022	0.2049808429118774
0.3	0	388	0.6398467432950191	0.14942528735632185	0.210727969348659
0.32	0	404	0.6819923371647509	0.14367816091954022	0.1743295019157088
0.34	0	413	0.6839080459770115	0.15134099616858238	0.16475095785440613
0.36	0	418	0.6973180076628352	0.14942528735632185	0.1532567049808429
0.38	0	422	0.6934865900383141	0.15517241379310345	0.15134099616858238
0.4	0	436	0.7011494252873564	0.16475095785440613	0.13409961685823754
0.42	0	442	0.7126436781609196	0.16475095785440613	0.12260536398467432
0.44	0	441	0.7030651340996169	0.1685823754789272	0.12835249042145594
0.46	0	447	0.7222222222222222	0.16475095785440613	0.11302681992337164
0.48	0	449	0.7183908045977011	0.1685823754789272	0.11302681992337164
0.5	0	457	0.7298850574712644	0.17049808429118773	0.09961685823754789
0.52	0	457	0.7298850574712644	0.17049808429118773	0.09961685823754789
0.54	0	461	0.7375478927203065	0.17049808429118773	0.09195402298850575
0.56	0	463	0.7452107279693486	0.1685823754789272	0.08620689655172414
0.58	0	466	0.7432950191570882	0.1724137931034483	0.0842911877394636
0.6	0	474	0.7547892720306514	0.1743295019157088	0.07088122605363985
0.62	0	475	0.7528735632183908	0.17624521072796934	0.07088122605363985
0.64	0	476	0.7509578544061303	0.1781609195402299	0.07088122605363985
0.66	0	481	0.7605363984674329	0.1781609195402299	0.06130268199233716
0.68	0	477	0.7567049808429118	0.17624521072796934	0.06704980842911877
0.7000000000000001	0	475	0.7490421455938697	0.1781609195402299	0.07279693486590039
0.72	0	473	0.7452107279693486	0.1781609195402299	0.07662835249042145
0.74	0	481	0.7567049808429118	0.18007662835249041	0.06321839080459771
